Date,Cluster,Healthy,Incubating,Infected,M_Suscept,M_Latent,M_Infected,Risk,lat,lon
10,5,104,0,1,455.1580692603534,0.2171825487868943,0.0,0.0,16.71198301,98.56604615
10,6,163,0,6,454.3530456512173,1.0222061579229913,0.0,0.0,17.3383,97.667
10,7,605,0,18,453.96948891594246,1.4038207658258304,0.0019421273720934761,5.173772657847541e-08,17.56081089,97.92060989
11,0,435,0,22,5132.689374105105,21.36345950555631,0.02925976064445871,1.2263253701823744e-06,17.33876038,98.1068906
11,1,197,0,2,2590.6903177637832,1.6583304855995156,0.0,0.0,17.11371281,98.40051491
11,2,497,0,13,519.8712325610879,1.0710510907216446,0.00012724543178082467,0.0,17.47290157,98.02630126
11,3,175,0,6,519.7267757401927,1.2152642807668634,0.0003708762814876474,1.4513179348082052e-08,17.22720545,98.22567455
11,4,236,0,32,513.8050955974356,7.1130253242558314,0.02428997554958365,9.438255417192222e-07,17.2121,97.7684
11,5,99,0,1,520.628150347256,0.31426054998515707,0.0,0.0,16.71198301,98.56604615
11,6,157,0,6,519.5859119382455,1.3562965729424699,0.0002023860531341565,0.0,17.3383,97.667
11,7,604,0,18,519.3343386568798,1.6046094125712111,0.003462827790376366,1.6596134096706178e-07,17.56081089,97.92060989
12,0,431,0,20,5841.114664074382,25.145972621290447,0.04819279652276381,2.460674504929113e-06,17.33876038,98.1068906
12,1,202,0,2,2951.6184213784404,2.155409371290885,0.0,0.0,17.11371281,98.40051491
12,2,486,0,16,592.6950626227438,1.3961309285461347,0.00039616107862225716,1.0840702443032489e-08,17.47290157,98.02630126
12,3,195,0,5,592.6583963498542,1.432591016307562,0.0006023462064297987,3.182118495164014e-08,17.22720545,98.22567455
12,4,234,0,31,586.0992523468909,7.960247929247768,0.032089436229502694,1.4156014429727163e-06,17.2121,97.7684
12,5,92,0,1,593.6626434461551,0.42894626621312937,0.0,0.0,16.71198301,98.56604615
12,6,149,0,4,592.5161996740674,1.5747050717117863,0.0006849665891777987,1.734435247513111e-08,17.3383,97.667
12,7,611,0,21,592.1939336343061,1.8924288538786003,0.005227224183910506,2.946033617610069e-07,17.56081089,97.92060989
13,0,451,0,21,6625.0324508369085,29.385432170219197,0.07218735703974227,4.052279043210699e-06,17.33876038,98.1068906
13,1,196,0,3,3351.613794259017,3.1012338733272835,0.0,0.0,17.11371281,98.40051491
13,2,501,0,15,673.691076862257,1.7055890765552462,0.0009754533644074421,3.384873960135285e-08,17.47290157,98.02630126
13,3,179,0,5,673.6874308402416,1.7093279054731478,0.0008826464614878501,5.1566073063490155e-08,17.22720545,98.22567455
13,4,231,0,27,666.6036689914295,8.753308260135336,0.04066414061147071,1.896261801375961e-06,17.2121,97.7684
13,5,80,0,1,674.820298456363,0.5773429358133553,0.0,0.0,16.71198301,98.56604615
13,6,155,0,4,673.5907419850893,1.805380709094421,0.0015186979926269143,5.876065582632185e-08,17.3383,97.667
13,7,607,0,24,673.1018740914473,2.2887448470290725,0.007022453700292541,4.424998526272005e-07,17.56081089,97.92060989
14,0,442,0,23,7487.931981903592,34.968084836213244,0.09647592162603172,6.038278364339388e-06,17.33876038,98.1068906
14,1,209,0,2,3794.105551545467,3.6202775004984447,0.0,0.0,17.11371281,98.40051491
14,2,481,0,16,763.3316253175328,2.1000009965823554,0.0019702467390517657,8.307643864917143e-08,17.47290157,98.02630126
14,3,181,0,5,763.4217392698941,2.0103238975146227,0.00153339344510597,7.558490773429288e-08,17.22720545,98.22567455
14,4,235,0,27,755.7260610736998,9.65895648018996,0.04857900696407438,2.4072550415416438e-06,17.2121,97.7684
14,5,82,0,1,764.701785391035,0.7318111698189002,0.0,0.0,16.71198301,98.56604615
14,6,159,0,4,763.3759584229219,2.055220004886146,0.0024181330458368138,1.3036578106034222e-07,17.3383,97.667
14,7,611,0,22,762.7568292191024,2.667273305939359,0.009494035812344193,5.964980893480715e-07,17.56081089,97.92060989
15,0,447,0,24,8434.332936573921,41.39390362752631,0.12267365211801519,8.057275696563871e-06,17.33876038,98.1068906
15,1,206,0,3,4280.572474957234,4.677595687298675,0.0020821238485369442,0.0,17.11371281,98.40051491
15,2,488,0,16,862.2387598737448,2.520481832269254,0.0037670619831112356,1.678775316703155e-07,17.47290157,98.02630126
15,3,176,0,5,862.401914349919,2.3578797912131733,0.0032146268645117312,1.312110368939296e-07,17.22720545,98.22567455
15,4,221,0,25,854.0217095334174,10.684989950176305,0.056309284402931696,2.880379656821092e-06,17.2121,97.7684
15,5,82,0,1,863.863912250115,0.8990965178816609,0.0,0.0,16.71198301,98.56604615
15,6,144,0,4,862.3726449164299,2.386400473064927,0.0039633785019187314,2.0704447268137906e-07,17.3383,97.667
15,7,636,0,22,861.6883027024605,3.0629844274291593,0.011721638107264802,8.07541331831732e-07,17.56081089,97.92060989
16,0,429,0,22,9468.505123311903,47.94940023797315,0.15386515002769557,1.0268682294366539e-05,17.33876038,98.1068906
16,1,211,0,4,4813.292338500024,6.286026174372608,0.004250210941442238,1.7981802613783245e-07,17.11371281,98.40051491
16,2,519,0,18,970.9053449786079,3.020179753105302,0.0059827422035500025,3.2038967391556115e-07,17.47290157,98.02630126
16,3,167,0,3,971.4093103218017,2.5166763458353487,0.005520806279265732,2.778950376521435e-07,17.22720545,98.22567455
16,4,217,0,27,961.797825463171,12.069109011814112,0.06457299893096856,3.30517037384749e-06,17.2121,97.7684
16,5,84,0,1,972.8570635712377,1.0736730220796948,0.0007708805988354383,0.0,16.71198301,98.56604615
16,6,140,0,4,971.1549598399415,2.7702832159359865,0.006264418038586279,3.390890496086026e-07,17.3383,97.667
16,7,633,0,21,970.442113974091,3.475574095528805,0.013819404296818688,9.983824604389578e-07,17.56081089,97.92060989
17,0,444,0,26,10591.28943457132,56.77536831193642,0.18848027488020497,1.2791104557196e-05,17.33876038,98.1068906
17,1,202,0,4,5394.694896982754,8.09415078194977,0.006455829587255309,3.6675606648095733e-07,17.11371281,98.40051491
17,2,525,0,17,1089.9392733468812,3.5095389764204765,0.00882406191654569,5.099680623690224e-07,17.47290157,98.02630126
17,3,160,0,5,1090.4193624937875,3.030105526226869,0.008168365203527069,4.711088024973423e-07,17.22720545,98.22567455
17,4,226,0,24,1080.1274419440665,13.256956950340664,0.07323749081042834,3.8526834082173075e-06,17.2121,97.7684
17,5,77,0,0,1092.490636872807,0.9652918863694653,0.0017076260412118873,6.783749269751855e-08,16.71198301,98.56604615
17,6,145,0,6,1089.951572211919,3.4966289969083957,0.009435176390142488,5.293640673666285e-07,17.3383,97.667
17,7,621,0,18,1089.6037022586222,3.8379857480420543,0.01594837855378929,1.181851026623705e-06,17.56081089,97.92060989
18,0,465,0,24,11808.230578439914,64.60798059305485,0.22672996905859105,1.5772214413288316e-05,17.33876038,98.1068906
18,1,205,0,4,6026.717915638094,9.969992965740822,0.015319239403263251,5.572400275315108e-07,17.11371281,98.40051491
18,2,513,0,18,1219.6922363509934,4.119774590051652,0.011071298158569859,7.501948232778504e-07,17.47290157,98.02630126
18,3,162,0,6,1220.0722091168768,3.7390292122206192,0.011843910105588763,6.931441329850112e-07,17.22720545,98.22567455
18,4,218,0,24,1209.0300732354156,14.710375571483691,0.08263343230337757,4.354301726365467e-06,17.2121,97.7684
18,5,74,0,0,1222.9527826780331,0.8674846849922568,0.0028148761773525975,1.5027109162664606e-07,16.71198301,98.56604615
18,6,150,0,6,1219.5734807895906,4.23635276191443,0.013248687697757552,7.983610791659027e-07,17.3383,97.667
18,7,613,0,18,1219.543296169766,4.2615661502900615,0.018219919147149658,1.363422080357543e-06,17.56081089,97.92060989
19,0,488,0,24,13119.709780496805,72.5206032133236,0.2772683908885698,1.9016976154789324e-05,17.33876038,98.1068906
19,1,211,0,5,6710.167374797666,12.606429642158801,0.02149341650222556,1.3168872094434816e-06,17.11371281,98.40051491
19,2,511,0,15,1360.8368526361344,4.611690647005226,0.013883410048259008,9.464907520809304e-07,17.47290157,98.02630126
19,3,156,0,7,1360.719112094102,4.727558902032128,0.015755697053197935,9.975042817762116e-07,17.22720545,98.22567455
19,4,211,0,22,1349.1692118599424,16.20070897160904,0.09250586163527351,4.938854842304016e-06,17.2121,97.7684
19,5,70,0,0,1364.6791570881342,0.7791965128977952,0.004073092154853303,2.4770910360702856e-07,16.71198301,98.56604615
19,6,137,0,5,1360.5169801825991,4.927865095204333,0.01758141538354918,1.1248322456631338e-06,17.3383,97.667
19,7,616,0,22,1360.5130302641412,4.92855440345012,0.02084202559616062,1.548064854433681e-06,17.56081089,97.92060989
20,0,514,0,0,14541.593447517193,65.19154597907999,0.32653846471094816,2.439961839819414e-05,17.33876038,98.1068906
20,1,224,0,0,7450.815956964501,11.33719475827981,0.027935994515114436,1.891420652195849e-06,17.11371281,98.40051491
20,2,529,0,0,1514.5895642383546,4.1449164363098205,0.018100215038315732,1.2217400842467926e-06,17.47290157,98.02630126
20,3,173,0,0,1514.4835977505252,4.25040769710645,0.018575442070343475,1.386501340681418e-06,17.22720545,98.22567455
20,4,232,0,0,1504.0886875397816,14.560305652947404,0.10358769697247695,6.10538686792805e-06,17.2121,97.7684
20,5,62,0,0,1518.047638245154,0.6993831249963334,0.005559519551050341,3.5843210962709067e-07,16.71198301,98.56604615
20,6,142,0,0,1514.3016790301726,4.430483423915267,0.020418435613826714,1.547164553752328e-06,17.3383,97.667
20,7,624,0,0,1514.2981241035604,4.429861500209228,0.024595285932425076,1.8340982524621346e-06,17.56081089,97.92060989
21,0,522,0,0,16057.404075668073,58.58447943282785,0.381796566583998,2.8735384894563434e-05,17.33876038,98.1068906
21,1,226,0,0,8245.305180516069,10.188422968505947,0.04019470900948684,2.45836751733007e-06,17.11371281,98.40051491
21,2,534,0,0,1680.255372557791,3.724596414222995,0.022118571990327646,1.5928189233717843e-06,17.47290157,98.02630126
21,3,164,0,0,1680.1600027187444,3.819918997627993,0.02216582763112108,1.6346389021902255e-06,17.22720545,98.22567455
21,4,228,0,0,1670.804583529075,13.083526425322166,0.11397758960572703,6.8367880001834775e-06,17.2121,97.7684
21,5,62,0,0,1683.36763916391,0.6269655096444379,0.007482870448207449,4.8923772049243e-07,16.71198301,98.56604615
21,6,137,0,0,1679.996275870427,3.9823926736413755,0.0234189999348087,1.7968223340167505e-06,17.3383,97.667
21,7,627,0,0,1679.993076436476,3.979255951233097,0.029755156294390676,2.1643851620534064e-06,17.56081089,97.92060989
22,0,514,0,0,17665.577298975557,52.6151809604527,0.45446743901796705,3.359809785939182e-05,17.33876038,98.1068906
22,1,236,0,0,9093.831418891625,9.1588339404414,0.04692196932248926,3.5371343928348406e-06,17.11371281,98.40051491
22,2,550,0,0,1858.0684544928413,3.3448000980500834,0.027243389541907317,1.9464343351488324e-06,17.47290157,98.02630126
22,3,165,0,0,1857.9826216376996,3.4318009089923796,0.026075433740822787,1.9505928315386553e-06,17.22720545,98.22567455
22,4,229,0,0,1849.5627443669969,11.751935445556397,0.12581816787870656,7.522520913977983e-06,17.2121,97.7684
22,5,59,0,0,1860.8694944383485,0.5615186279420284,0.009484914141352344,6.584925994422554e-07,16.71198301,98.56604615
22,6,147,0,0,1857.8352674742137,3.5785617125773226,0.02666879364124311,2.0608719942631654e-06,17.3383,97.667
22,7,600,0,0,1857.832387983658,3.5734167460292308,0.03469325074550829,2.618453753906379e-06,17.56081089,97.92060989
23,0,511,0,0,19363.335065879946,47.224592331648935,0.5380912278746635,3.99931346335811e-05,17.33876038,98.1068906
23,1,223,0,0,9996.05144973654,8.224527592949896,0.06065272583760531,4.129133300379054e-06,17.11371281,98.40051491
23,2,566,0,0,2048.1732112149803,3.002122660838458,0.032716477994333186,2.3974182796878437e-06,17.47290157,98.02630126
23,3,162,0,0,2048.095961645353,3.0814868554700796,0.030601852989802145,2.2946381691924055e-06,17.22720545,98.22567455
23,4,231,0,0,2040.5180721017202,10.550761600025774,0.13921665206581887,8.303999079994631e-06,17.2121,97.7684
23,5,59,0,0,2050.6941471659366,0.5022501090090741,0.011653078865968643,8.346724444390061e-07,16.71198301,98.56604615
23,6,139,0,0,2047.9633428982154,3.2137262450963084,0.030981210500400695,2.3468538404293934e-06,17.3383,97.667
23,7,609,0,0,2047.9607513567153,3.2074481117264866,0.03985088537077843,3.0530060656047287e-06,17.56081089,97.92060989
24,0,498,0,0,21146.631629144318,42.3629547250481,0.6234604785231448,4.735202805297037e-05,17.33876038,98.1068906
24,1,228,0,0,10951.039797097232,7.375134791974716,0.08152749493403406,5.337439873709267e-06,17.11371281,98.40051491
